Date;Price;Open;High;Low;Vol.;Change %
10/07/2004;1,716.72;1,724.42;1,731.78;1,713.01;;-0.45%
10/06/2004;1,724.42;1,731.59;1,737.35;1,716.68;;-0.41%
10/05/2004;1,731.59;1,743.01;1,753.01;1,730.58;;-0.66%
10/04/2004;1,743.01;1,731.16;1,748.65;1,731.16;;0.68%
10/01/2004;1,731.16;1,707.02;1,731.77;1,707.02;;1.41%
09/30/2004;1,707.02;1,714.76;1,716.79;1,702.89;;-0.45%
09/29/2004;1,714.76;1,687.82;1,718.13;1,687.82;;1.60%
09/28/2004;1,687.82;1,693.70;1,695.35;1,678.44;;-0.35%
09/27/2004;1,693.70;1,690.75;1,704.59;1,690.63;;0.17%
09/24/2004;1,690.75;1,684.55;1,695.53;1,684.55;;0.37%
09/23/2004;1,684.55;1,672.65;1,686.76;1,672.40;;0.71%
09/22/2004;1,672.65;1,682.94;1,692.87;1,671.75;;-0.61%
09/21/2004;1,682.94;1,661.26;1,683.47;1,661.26;;1.31%
09/20/2004;1,661.26;1,658.55;1,666.45;1,655.83;;0.16%
09/17/2004;1,658.55;1,647.15;1,661.02;1,646.20;;0.00%
09/16/2004;1,658.55;1,647.15;1,661.02;1,646.20;;0.69%
09/15/2004;1,647.15;1,630.04;1,650.10;1,630.04;;1.05%
09/14/2004;1,630.04;1,609.48;1,630.62;1,605.94;;1.28%
09/13/2004;1,609.48;1,608.01;1,612.24;1,581.43;;0.09%
09/10/2004;1,608.01;1,599.06;1,608.26;1,596.76;;0.56%
09/09/2004;1,599.06;1,614.78;1,615.93;1,596.26;;-0.97%
09/08/2004;1,614.78;1,629.20;1,629.91;1,598.30;;-0.89%
09/07/2004;1,629.20;1,642.18;1,644.71;1,626.78;;-0.79%
09/06/2004;1,642.18;1,642.04;1,650.75;1,640.84;;0.01%
09/03/2004;1,642.04;1,634.98;1,652.57;1,634.82;;0.43%
09/02/2004;1,634.98;1,636.35;1,644.90;1,631.01;;-0.08%
09/01/2004;1,636.35;1,631.41;1,637.16;1,630.21;;0.30%
08/31/2004;1,631.41;1,623.72;1,635.51;1,623.72;;0.47%
08/30/2004;1,623.72;1,626.43;1,635.78;1,622.26;;-0.17%
08/27/2004;1,626.43;1,600.74;1,627.18;1,600.57;;1.60%
08/26/2004;1,600.74;1,600.85;1,609.11;1,598.91;;-0.01%
08/25/2004;1,600.85;1,591.90;1,607.12;1,591.90;;0.56%
08/24/2004;1,591.90;1,592.27;1,598.11;1,583.11;;-0.02%
08/23/2004;1,592.27;1,596.53;1,608.44;1,587.30;;-0.27%
08/20/2004;1,596.53;1,585.45;1,597.32;1,585.42;;0.70%
08/19/2004;1,585.45;1,586.03;1,594.24;1,575.01;;-0.04%
08/18/2004;1,586.03;1,563.90;1,587.14;1,563.90;;1.42%
08/17/2004;1,563.90;1,545.46;1,565.18;1,545.46;;1.19%
08/16/2004;1,545.46;1,539.79;1,547.50;1,538.04;;0.37%
08/13/2004;1,539.79;1,542.92;1,544.52;1,534.86;;-0.20%
08/12/2004;1,542.92;1,538.33;1,543.70;1,535.65;;0.30%
08/11/2004;1,538.33;1,532.27;1,538.63;1,530.14;;0.40%
08/10/2004;1,532.27;1,532.39;1,536.81;1,531.26;;-0.01%
08/09/2004;1,532.39;1,524.40;1,533.34;1,524.40;;0.52%
08/06/2004;1,524.40;1,526.58;1,528.65;1,523.79;;-0.14%
08/05/2004;1,526.58;1,522.05;1,532.73;1,521.99;;0.30%
08/04/2004;1,522.05;1,521.73;1,523.59;1,520.07;;0.02%
08/03/2004;1,521.73;1,522.50;1,524.54;1,519.53;;-0.05%
08/02/2004;1,522.50;1,520.85;1,523.02;1,517.03;;0.11%
07/30/2004;1,520.85;1,521.64;1,523.83;1,517.74;;-0.05%
07/29/2004;1,521.64;1,506.75;1,522.60;1,506.75;;0.99%
